Optimizer,objfname,ExecutionTime,Iter1,Iter2,Iter3,Iter4,Iter5,Iter6,Iter7,Iter8,Iter9,Iter10,Iter11,Iter12,Iter13,Iter14,Iter15,Iter16,Iter17,Iter18,Iter19,Iter20,Iter21,Iter22,Iter23,Iter24,Iter25,Iter26,Iter27,Iter28,Iter29,Iter30
PSO,Fun4,4229.512586116791,133173.98300001526,129862.67200002924,127462.22800003686,126177.37500004176,121142.1970000376,121142.1970000376,119473.34900003315,118441.71200003145,116944.89600002926,116944.89600002926,116683.0500000297,115787.20900002925,115239.48500002884,113670.62100002586,112954.84100002568,112778.96200002465,112297.7050000239,112297.7050000239,112297.7050000239,112028.0010000227,111522.9640000216,111514.14700002279,111514.14700002279,111170.5750000232,111170.5750000232,111170.5750000232,111059.36800002154,111059.36800002154,110843.65600002302,110575.87600002182
GA,Fun4,4631.25914144516,142348.8409999804,142348.8409999804,142348.8409999804,142348.8409999804,137983.24200001467,137983.24200001467,137983.24200001467,137983.24200001467,137983.24200001467,137983.24200001467,137569.3290000172,137569.3290000172,137569.3290000172,137569.3290000172,137569.3290000172,137407.33700001877,132691.04200004257,132691.04200004257,132691.04200004257,132691.04200004257,132691.04200004257,132691.04200004257,132691.04200004257,132691.04200004257,132691.04200004257,132691.04200004257,132691.04200004257,132691.04200004257,132691.04200004257,132179.2380000456
BAT,Fun4,7684.134114027023,136157.0720000027,135356.0820000192,135260.98400001996,134416.62700002574,133656.32000003944,131117.41400005526,131117.41400005526,131117.41400005526,131117.41400005526,131117.41400005526,131117.41400005526,131117.41400005526,131117.41400005526,131117.41400005526,131117.41400005526,131117.41400005526,131117.41400005526,131117.41400005526,130540.29400005462,130540.29400005462,130540.29400005462,130540.29400005462,130198.01200005456,130198.01200005456,130198.01200005456,130198.01200005456,130198.01200005456,130198.01200005456,130198.01200005456,130198.01200005456
FFA,Fun4,32527.029786109924,137149.30199999746,137149.30199999746,130619.11200003668,130172.83900001949,128974.25000003028,128974.25000003028,127396.99500002954,125813.7570000258,124691.09200002397,124325.17800002263,124325.17800002263,124325.17800002263,124325.17800002263,123292.31800002152,123116.86300001974,122143.5560000199,121445.21700001963,121445.21700001963,121445.21700001963,121445.21700001963,121445.21700001963,121445.21700001963,121445.21700001963,121445.21700001963,121445.21700001963,121445.21700001963,121445.21700001963,121445.21700001963,121445.21700001963,121445.21700001963
GWO,Fun4,7273.424890041351,128911.47800006022,124098.23000004498,117915.7860000418,110708.38100003549,104678.51800004364,97096.08300004437,90794.5110000283,85368.29800001786,80958.7820000176,72769.43999999839,67778.87399999755,65235.61499999408,60798.52999999963,60131.12299999599,56721.25599999819,55111.18399999663,53768.100999995084,50102.32099999648,44255.72699999878,44255.72699999878,43536.73599999847,42198.39499999997,41613.76399999791,41215.84799999971,39055.109000001015,39055.109000001015,38782.86800000027,38050.13700000401,37470.8280000035,37470.8280000035
CS,Fun4,14682.655040025711,138837.1809999946,138837.1809999946,138837.1809999946,138837.1809999946,138837.1809999946,138837.1809999946,138837.1809999946,138837.1809999946,138837.1809999946,138837.1809999946,137301.97499999616,137301.97499999616,135343.05900001916,135343.05900001916,135343.05900001916,135343.05900001916,134217.47600002584,134217.47600002584,133378.77200004837,133378.77200004837,133378.77200004837,133378.77200004837,131099.11600005807,131099.11600005807,131099.11600005807,131099.11600005807,131017.88400005808,131017.88400005808,130287.72500005555,130287.72500005555
DE,Fun4,12079.67574596405,135735.4050000344,135735.4050000344,135735.4050000344,135735.4050000344,135735.4050000344,135735.4050000344,130822.67200005805,130822.67200005805,130822.67200005805,130822.67200005805,127989.8050000382,127989.8050000382,127989.8050000382,125858.74400004954,125858.74400004954,120512.30200003888,119282.12800004357,119282.12800004357,118495.9930000321,117523.73100002659,114693.69600002933,114693.69600002933,114693.69600002933,112264.07300002572,112264.07300002572,112264.07300002572,110646.30000001664,110646.30000001664,110049.78100002903,110049.78100002903
RS,Fun4,7070.274726390839,154860.77299988453,152567.5229999151,148936.8299999313,151719.9229999251,147323.35199995234,151562.3569999142,155814.5499998671,147832.10899991606,159374.7439998387,141799.33899997402,163058.08999983736,150587.64099993577,139939.04899996723,147506.38399995898,161612.47699981713,150349.8289999059,148454.20199992904,158607.02399987064,145687.46199995434,154852.64299988863,153463.47599989155,162300.59999985158,153338.13499990126,148097.41399994912,151381.5799999026,150622.4719998964,151405.90899992376,153607.7689998919,154835.2039998806,156160.49199986647
