Optimizer,objfname,ExecutionTime,Iter1,Iter2,Iter3,Iter4,Iter5,Iter6,Iter7,Iter8,Iter9,Iter10,Iter11,Iter12,Iter13,Iter14,Iter15,Iter16,Iter17,Iter18,Iter19,Iter20,Iter21,Iter22,Iter23,Iter24,Iter25,Iter26,Iter27,Iter28,Iter29,Iter30
PSO,Fun4,4229.51,133173.98,129862.67,127462.23,126177.38,121142.2,121142.2,119473.35,118441.71,116944.9,116944.9,116683.05,115787.21,115239.49,113670.62,112954.84,112778.96,112297.71,112297.71,112297.71,112028.0,111522.96,111514.15,111514.15,111170.58,111170.58,111170.58,111059.37,111059.37,110843.66,110575.88
GA,Fun4,4631.26,142348.84,142348.84,142348.84,142348.84,137983.24,137983.24,137983.24,137983.24,137983.24,137983.24,137569.33,137569.33,137569.33,137569.33,137569.33,137407.34,132691.04,132691.04,132691.04,132691.04,132691.04,132691.04,132691.04,132691.04,132691.04,132691.04,132691.04,132691.04,132691.04,132179.24
BAT,Fun4,7684.13,136157.07,135356.08,135260.98,134416.63,133656.32,131117.41,131117.41,131117.41,131117.41,131117.41,131117.41,131117.41,131117.41,131117.41,131117.41,131117.41,131117.41,131117.41,130540.29,130540.29,130540.29,130540.29,130198.01,130198.01,130198.01,130198.01,130198.01,130198.01,130198.01,130198.01
FFA,Fun4,32527.03,137149.3,137149.3,130619.11,130172.84,128974.25,128974.25,127397.0,125813.76,124691.09,124325.18,124325.18,124325.18,124325.18,123292.32,123116.86,122143.56,121445.22,121445.22,121445.22,121445.22,121445.22,121445.22,121445.22,121445.22,121445.22,121445.22,121445.22,121445.22,121445.22,121445.22
GWO,Fun4,7273.42,128911.48,124098.23,117915.79,110708.38,104678.52,97096.08,90794.51,85368.3,80958.78,72769.44,67778.87,65235.61,60798.53,60131.12,56721.26,55111.18,53768.1,50102.32,44255.73,44255.73,43536.74,42198.39,41613.76,41215.85,39055.11,39055.11,38782.87,38050.14,37470.83,37470.83
CS,Fun4,14682.66,138837.18,138837.18,138837.18,138837.18,138837.18,138837.18,138837.18,138837.18,138837.18,138837.18,137301.97,137301.97,135343.06,135343.06,135343.06,135343.06,134217.48,134217.48,133378.77,133378.77,133378.77,133378.77,131099.12,131099.12,131099.12,131099.12,131017.88,131017.88,130287.73,130287.73
DE,Fun4,12079.68,135735.41,135735.41,135735.41,135735.41,135735.41,135735.41,130822.67,130822.67,130822.67,130822.67,127989.81,127989.81,127989.81,125858.74,125858.74,120512.3,119282.13,119282.13,118495.99,117523.73,114693.7,114693.7,114693.7,112264.07,112264.07,112264.07,110646.3,110646.3,110049.78,110049.78
RS,Fun4,7070.27,154860.77,152567.52,148936.83,151719.92,147323.35,151562.36,155814.55,147832.11,159374.74,141799.34,163058.09,150587.64,139939.05,147506.38,161612.48,150349.83,148454.2,158607.02,145687.46,154852.64,153463.48,162300.6,153338.13,148097.41,151381.58,150622.47,151405.91,153607.77,154835.2,156160.49
