Optimizer,objfname,ExecutionTime,Iter1,Iter2,Iter3,Iter4,Iter5,Iter6,Iter7,Iter8,Iter9,Iter10,Iter11,Iter12,Iter13,Iter14,Iter15,Iter16,Iter17,Iter18,Iter19,Iter20,Iter21,Iter22,Iter23,Iter24,Iter25,Iter26,Iter27,Iter28,Iter29,Iter30,Iter31,Iter32,Iter33,Iter34,Iter35,Iter36,Iter37,Iter38,Iter39,Iter40,Iter41,Iter42,Iter43,Iter44,Iter45,Iter46,Iter47,Iter48,Iter49,Iter50
PSO,Fun5,1575.757124,226631,223268,216991,216991,216991,214323,214323,209770,209770,208412,202552,201640,201640,201001,201001,201001,198507,196948,193064,193064,193064,193064,193064,193064,193064,193064,193064,193064,193064,192693,191709,191709,191709,191709,191709,190871,190652,190652,190652,190424,187949,187949,186720,186720,186720,186456,184197,184197,182285,182285
GA,Fun5,1675.601266,236099,230801,230801,230801,230801,229947,229947,229792,229792,227200,227200,227200,226781,221876,220520,220520,220353,215252,215252,215252,215252,215252,214971,214971,214971,214971,214971,214192,213099,213052,213052,212824,212359,212359,210179,210179,209182,209182,209182,209182,209182,209182,209182,209182,209182,208730,208637,207493,207493,207493
BAT,Fun5,1787.317998,224654,223681,222620,222620,222620,222620,222620,222620,222620,222620,222620,222620,222620,222413,222413,222413,222413,222413,222413,222413,222413,222413,222413,222413,222413,222413,222413,222413,222413,222413,222413,222413,222413,222413,222413,222413,222413,222413,222413,222413,222413,222413,222413,222413,222413,222413,222413,222413,222413,222413
FFA,Fun5,1883.066801,235486,218526,211003,211003,206589,206589,206589,206589,203561,198569,198569,198569,198569,198569,198569,198569,195804,194981,194981,194981,194981,193635,193635,192999,192999,192416,192334,192141,192141,192141,192141,192141,192141,192141,192141,192141,192141,192141,192141,192141,192141,192141,192141,192141,192141,192141,192141,192141,192141,192141
GWO,Fun5,1383.404967,226411,211668,205303,192522,179363,168481,157871,150663,140951,134592,124161,113492,105584,98223,94679,94252,88837,83014,76955,73222,70356,66680,62605,61341,61019,57593,55245,53851,47082,47067,47067,45281,41909,40934,40934,36692,36692,34629,33340,33154,32474,30823,30823,30403,27864,27864,27864,27864,27864,27864
CS,Fun5,4072.621375,235207,235207,233454,233454,233454,232728,230303,230303,221792,221792,221792,215383,215383,215383,215383,215383,213864,213864,213864,213864,213864,213864,213864,213864,213864,213864,213556,213556,213556,213556,213556,211133,211133,211133,211133,211133,211133,211133,211133,211133,210872,210872,210872,210872,210872,210872,210872,210872,210872,210872
DE,Fun5,2030.669779,232426,229115,228619,226205,221527,221527,221527,220440,218852,211583,211583,211583,210689,210689,210689,210021,206261,200000,200000,200000,200000,200000,194605,194605,194605,194605,191407,189610,185140,185140,185140,185140,185140,181408,181408,181408,181408,181408,179975,179975,179692,174036,174036,174036,174036,172572,172572,165119,165119,165119
