Optimizer,objfname,ExecutionTime,Iter1,Iter2,Iter3,Iter4,Iter5,Iter6,Iter7,Iter8,Iter9,Iter10,Iter11,Iter12,Iter13,Iter14,Iter15,Iter16,Iter17,Iter18,Iter19,Iter20,Iter21,Iter22,Iter23,Iter24,Iter25,Iter26,Iter27,Iter28,Iter29,Iter30,Iter31,Iter32,Iter33,Iter34,Iter35,Iter36,Iter37,Iter38,Iter39,Iter40,Iter41,Iter42,Iter43,Iter44,Iter45,Iter46,Iter47,Iter48,Iter49,Iter50
PSO,Fun4,4294.632087,145316.162,141002.865,139639.837,138130.867,136264.049,134101.337,131526.193,129948.704,129128.629,128677.865,127732.824,126266.218,126220.847,123738.017,123544.429,123345.102,123345.102,122283.081,122005.023,120398.151,120398.151,120241.905,120201.192,120194.029,120025.143,119516.862,119179.869,118345.725,118023.358,117458.019,117458.019,117458.019,117458.019,117458.019,117458.019,117458.019,117458.019,117458.019,117458.019,117458.019,117458.019,117458.019,117458.019,117458.019,117458.019,117458.019,117458.019,117458.019,117458.019,117458.019
GA,Fun4,28101.32053,146587.327,144298.608,144298.608,143725.321,143725.321,143725.321,142591.836,142584.345,142430.134,142430.134,142427.502,141605.51,141131.135,141013.297,141013.297,140031.784,135187.909,134668.012,134668.012,134668.012,134668.012,134668.012,134668.012,134668.012,134047.441,133818.416,133299.61,132012.907,132012.907,132012.907,132012.907,132012.907,132012.907,132012.907,132012.907,131946.927,131946.927,130841.834,129672.436,129672.436,129672.436,129672.436,129472.954,129472.954,129472.954,129472.954,129472.954,129156.138,129156.138,129156.138
BAT,Fun4,4728.673932,137057.029,135355.49,134955.025,134955.025,134799.003,133909.528,133909.528,133909.528,133909.528,133909.528,133909.528,133460.761,133460.761,133460.761,133460.761,133460.761,133460.761,133460.761,133460.761,133460.761,133460.761,133460.761,133460.761,133460.761,133460.761,133460.761,133460.761,133031.806,133031.806,133031.806,133031.806,133031.806,133031.806,133031.806,133031.806,133031.806,133031.806,133031.806,133031.806,133031.806,132710.501,132238.828,132238.828,132238.828,132238.828,132238.828,132238.828,132238.828,132238.828,132238.828
FFA,Fun4,4338.339641,139988.87,139394.964,136463.949,136192.622,134099.755,131178.229,129830.704,129830.704,128933.173,127178.21,126825.011,126393.911,126393.911,124782.512,124782.512,123450.253,123450.253,123450.253,123450.253,123450.253,123450.253,123450.253,123450.253,123450.253,123450.253,123450.253,123007.252,123007.252,123007.252,123007.252,123007.252,123007.252,123007.252,123007.252,123007.252,123007.252,123007.252,123007.252,123007.252,123007.252,123007.252,123007.252,123007.252,123007.252,123007.252,123007.252,123007.252,123007.252,123007.252,123007.252
GWO,Fun4,3912.757146,141077.94,124830.939,117875.869,114173.899,107840.816,103865.247,95994.311,89111.098,83097.631,80908.308,74987.569,72854.604,66641.768,64705.648,62017.224,56805.221,53683.296,53228.492,50447.382,47605.319,46483.831,43102.745,41505.761,38869.904,37409.899,37409.899,34882.444,34882.444,34882.444,33839.805,31808.864,31808.864,31808.864,30748.383,30324.754,28653.07,27896.513,27896.513,27896.513,27466.765,27466.765,27298.719,26570.993,25754.196,25754.196,25708.521,25634.747,25203.656,25203.656,24924.624
CS,Fun4,11154.36492,142961.969,140555.132,139625.325,139625.325,139625.325,139625.325,139625.325,139625.325,138593.961,138593.961,138593.961,138593.961,134105.571,134105.571,134105.571,134105.571,134105.571,134105.571,129025.955,129025.955,129025.955,129025.955,129025.955,129025.955,129025.955,129025.955,129025.955,129025.955,129025.955,129025.955,129025.955,129025.955,129025.955,129025.955,129025.955,129025.955,129025.955,129025.955,129025.955,129025.955,129025.955,129025.955,129025.955,129025.955,128949.791,128949.791,128949.791,128537.27,128537.27,128537.27
DE,Fun4,5663.456122,134784.662,134784.662,134784.662,129807.178,129173.164,125454.79,125454.79,125454.79,125454.79,125454.79,119404.41,119404.41,119404.41,118761.006,118761.006,118761.006,118761.006,118761.006,118761.006,114199.876,114199.876,114199.876,113756.973,113756.973,110482.98,106036.797,106036.797,106036.797,106036.797,106036.797,106036.797,106036.797,106036.797,106036.797,106036.797,106036.797,103920.482,97724.475,97724.475,97724.475,97724.475,97617.721,97617.721,97617.721,97617.721,97617.721,97277.105,97277.105,97277.105,97149.538
