Optimizer,objfname,ExecutionTime,Iter1,Iter2,Iter3,Iter4,Iter5,Iter6,Iter7,Iter8,Iter9,Iter10,Iter11,Iter12,Iter13,Iter14,Iter15,Iter16,Iter17,Iter18,Iter19,Iter20,Iter21,Iter22,Iter23,Iter24,Iter25,Iter26,Iter27,Iter28,Iter29,Iter30,Iter31,Iter32,Iter33,Iter34,Iter35,Iter36,Iter37,Iter38,Iter39,Iter40,Iter41,Iter42,Iter43,Iter44,Iter45,Iter46,Iter47,Iter48,Iter49,Iter50
PSO,Fun4,4294.63,145316.16,141002.86,139639.84,138130.87,136264.05,134101.34,131526.19,129948.7,129128.63,128677.87,127732.82,126266.22,126220.85,123738.02,123544.43,123345.1,123345.1,122283.08,122005.02,120398.15,120398.15,120241.91,120201.19,120194.03,120025.14,119516.86,119179.87,118345.73,118023.36,117458.02,117458.02,117458.02,117458.02,117458.02,117458.02,117458.02,117458.02,117458.02,117458.02,117458.02,117458.02,117458.02,117458.02,117458.02,117458.02,117458.02,117458.02,117458.02,117458.02,117458.02
GA,Fun4,28101.32,146587.33,144298.61,144298.61,143725.32,143725.32,143725.32,142591.84,142584.34,142430.13,142430.13,142427.5,141605.51,141131.13,141013.3,141013.3,140031.78,135187.91,134668.01,134668.01,134668.01,134668.01,134668.01,134668.01,134668.01,134047.44,133818.42,133299.61,132012.91,132012.91,132012.91,132012.91,132012.91,132012.91,132012.91,132012.91,131946.93,131946.93,130841.83,129672.44,129672.44,129672.44,129672.44,129472.95,129472.95,129472.95,129472.95,129472.95,129156.14,129156.14,129156.14
BAT,Fun4,4728.67,137057.03,135355.49,134955.03,134955.03,134799,133909.53,133909.53,133909.53,133909.53,133909.53,133909.53,133460.76,133460.76,133460.76,133460.76,133460.76,133460.76,133460.76,133460.76,133460.76,133460.76,133460.76,133460.76,133460.76,133460.76,133460.76,133460.76,133031.81,133031.81,133031.81,133031.81,133031.81,133031.81,133031.81,133031.81,133031.81,133031.81,133031.81,133031.81,133031.81,132710.5,132238.83,132238.83,132238.83,132238.83,132238.83,132238.83,132238.83,132238.83,132238.83
FFA,Fun4,4338.34,139988.87,139394.96,136463.95,136192.62,134099.76,131178.23,129830.7,129830.7,128933.17,127178.21,126825.01,126393.91,126393.91,124782.51,124782.51,123450.25,123450.25,123450.25,123450.25,123450.25,123450.25,123450.25,123450.25,123450.25,123450.25,123450.25,123007.25,123007.25,123007.25,123007.25,123007.25,123007.25,123007.25,123007.25,123007.25,123007.25,123007.25,123007.25,123007.25,123007.25,123007.25,123007.25,123007.25,123007.25,123007.25,123007.25,123007.25,123007.25,123007.25,123007.25
GWO,Fun4,3912.76,141077.94,124830.94,117875.87,114173.9,107840.82,103865.25,95994.31,89111.1,83097.63,80908.31,74987.57,72854.6,66641.77,64705.65,62017.22,56805.22,53683.3,53228.49,50447.38,47605.32,46483.83,43102.74,41505.76,38869.9,37409.9,37409.9,34882.44,34882.44,34882.44,33839.81,31808.86,31808.86,31808.86,30748.38,30324.75,28653.07,27896.51,27896.51,27896.51,27466.77,27466.77,27298.72,26570.99,25754.2,25754.2,25708.52,25634.75,25203.66,25203.66,24924.62
CS,Fun4,11154.36,142961.97,140555.13,139625.33,139625.33,139625.33,139625.33,139625.33,139625.33,138593.96,138593.96,138593.96,138593.96,134105.57,134105.57,134105.57,134105.57,134105.57,134105.57,129025.96,129025.96,129025.96,129025.96,129025.96,129025.96,129025.96,129025.96,129025.96,129025.96,129025.96,129025.96,129025.96,129025.96,129025.96,129025.96,129025.96,129025.96,129025.96,129025.96,129025.96,129025.96,129025.96,129025.96,129025.96,129025.96,128949.79,128949.79,128949.79,128537.27,128537.27,128537.27
DE,Fun4,5663.46,134784.66,134784.66,134784.66,129807.18,129173.16,125454.79,125454.79,125454.79,125454.79,125454.79,119404.41,119404.41,119404.41,118761.01,118761.01,118761.01,118761.01,118761.01,118761.01,114199.88,114199.88,114199.88,113756.97,113756.97,110482.98,106036.8,106036.8,106036.8,106036.8,106036.8,106036.8,106036.8,106036.8,106036.8,106036.8,106036.8,103920.48,97724.48,97724.48,97724.48,97724.48,97617.72,97617.72,97617.72,97617.72,97617.72,97277.11,97277.11,97277.11,97149.54
