Optimizer,objfname,ExecutionTime,Iter1,Iter2,Iter3,Iter4,Iter5,Iter6,Iter7,Iter8,Iter9,Iter10,Iter11,Iter12,Iter13,Iter14,Iter15,Iter16,Iter17,Iter18,Iter19,Iter20,Iter21,Iter22,Iter23,Iter24,Iter25,Iter26,Iter27,Iter28,Iter29,Iter30,Iter31,Iter32,Iter33,Iter34,Iter35,Iter36,Iter37,Iter38,Iter39,Iter40,Iter41,Iter42,Iter43,Iter44,Iter45,Iter46,Iter47,Iter48,Iter49,Iter50
PSO,Fun2,2377.78,709314,684386,684386,676924,661830,644799,644799,637246,626655,626655,620262,620262,620262,612631,612631,606995,604928,604928,601157,601157,598152,595575,594273,594273,594273,593409,590061,588031,585066,585034,584610,583193,583193,577797,577797,577797,575754,575754,575754,575130,574521,574521,574521,574521,572990,571993,571993,571369,571369,571369
GA,Fun2,2307.13,726210,722794,722794,722794,714568,711905,700897,700897,700785,695955,684345,678285,678065,678065,678065,678065,674624,674624,674624,674624,674624,674624,671833,671833,671833,671833,668392,668392,667916,667836,667836,659898,659898,659898,659898,659898,653842,653842,653842,653842,653842,653842,653842,653842,653144,653144,653144,653144,653144,649547
BAT,Fun2,2507.42,696884,696294,696294,692769,692166,689903,689903,689314,689314,689314,688688,686987,686987,686987,686987,686987,686987,686987,686987,686987,686987,686987,686987,686378,686378,686378,686378,686378,686378,686378,686378,684115,684115,684115,684115,684115,684115,684115,684115,684115,684115,684115,683899,682669,682669,682669,682669,682669,682669,682669
FFA,Fun2,2305.09,714513,713878,696700,661289,661289,657373,648146,643701,643701,643701,643701,643701,642323,642323,642323,642323,642323,642323,642323,642323,642323,642323,642323,642323,640006,639195,639195,637445,637445,637445,637445,636862,636862,636862,636862,636862,636862,636862,636862,636862,636862,636862,636862,636862,636862,636862,636862,636862,636862,636862
GWO,Fun2,2039.25,729666,691835,648229,609960,553402,498909,444580,438840,388697,384161,356065,327997,295981,295981,280962,279865,263337,263337,239703,235935,221934,208646,207783,194039,194039,187365,161918,161918,161918,154680,154680,152447,151903,150650,141060,141060,137995,137995,137995,136690,133882,125574,125574,123961,119101,118213,117875,117666,117602,117312
CS,Fun2,4734.01,698992,698992,698992,698992,698992,698992,692025,692025,689492,689492,689492,686979,686979,686979,686979,686979,686094,665686,663657,663657,663657,663657,663657,663657,663657,663657,663657,663657,663657,663657,663657,663657,663657,663657,663657,663657,663657,663657,658961,658961,658961,658961,657547,657547,657547,657547,657547,657547,654879,654879
DE,Fun2,2185.26,722381,722381,707145,695029,695029,677740,675190,675190,666477,640725,625980,625980,625980,625980,625980,611508,605420,605420,590711,590711,590711,575752,575752,575752,575752,575688,573136,573136,573136,573108,573108,539107,539107,539107,539107,539107,522089,522089,522089,522089,521579,521579,521579,521579,520615,512114,486976,486976,486976,486976
