Optimizer,objfname,ExecutionTime,Iter1,Iter2,Iter3,Iter4,Iter5,Iter6,Iter7,Iter8,Iter9,Iter10,Iter11,Iter12,Iter13,Iter14,Iter15,Iter16,Iter17,Iter18,Iter19,Iter20,Iter21,Iter22,Iter23,Iter24,Iter25,Iter26,Iter27,Iter28,Iter29,Iter30
PSO,Fun2,1559.741538286209,716765.0,697717.0,684227.0,667999.0,646040.0,638066.0,638066.0,638066.0,633275.0,633275.0,633275.0,633275.0,633275.0,633275.0,618967.0,608180.0,603416.0,603416.0,603416.0,603416.0,591498.0,583754.0,573866.0,569017.0,569017.0,569017.0,569017.0,567817.0,564538.0,564538.0
GA,Fun2,1530.6279346942902,741820.0,741530.0,741530.0,741530.0,732081.0,732081.0,732081.0,723513.0,723513.0,716191.0,669175.0,669175.0,669175.0,669175.0,649976.0,649976.0,640863.0,640863.0,640863.0,640863.0,640863.0,640863.0,640863.0,639494.0,634890.0,629279.0,629279.0,627300.0,627300.0,623995.0
BAT,Fun2,1436.9126751422882,682205.0,682205.0,671577.0,670150.0,665920.0,664610.0,662293.0,662054.0,662054.0,662054.0,662054.0,662054.0,662054.0,662054.0,662054.0,662054.0,662054.0,662054.0,662054.0,662054.0,662054.0,662054.0,662054.0,662054.0,662054.0,662054.0,662054.0,662054.0,662054.0,662054.0
FFA,Fun2,1604.580652475357,738235.0,705203.0,687225.0,664951.0,661066.0,658133.0,658133.0,650246.0,639756.0,625007.0,625007.0,625007.0,625007.0,625007.0,625007.0,625007.0,625007.0,620778.0,618652.0,618552.0,618552.0,618552.0,618552.0,618552.0,618552.0,618552.0,618552.0,618552.0,618552.0,618552.0
GWO,Fun2,2319.111171722412,699711.0,652817.0,635733.0,572464.0,562466.0,537569.0,494826.0,445087.0,415820.0,402517.0,374287.0,357988.0,331557.0,321959.0,305759.0,297386.0,283015.0,280788.0,269389.0,265353.0,265353.0,253485.0,240583.0,240583.0,234656.0,227543.0,223564.0,223564.0,220360.0,217628.0
CS,Fun2,5693.9619140625,754095.0,711939.0,710406.0,710406.0,710406.0,710406.0,701101.0,701101.0,701101.0,699900.0,699900.0,699900.0,692165.0,692165.0,692165.0,692165.0,692165.0,686822.0,686822.0,686798.0,686798.0,686798.0,686798.0,686798.0,686798.0,681603.0,681603.0,678811.0,678811.0,674081.0
DE,Fun2,2489.87429022789,724516.0,715183.0,710332.0,689354.0,689354.0,676913.0,671619.0,667023.0,667023.0,657305.0,631063.0,631063.0,631063.0,631063.0,631063.0,627510.0,620364.0,600645.0,600645.0,592592.0,592592.0,592592.0,592592.0,589924.0,570873.0,567616.0,567616.0,567616.0,549551.0,549551.0
RS,Fun2,2419.003729581833,780543.0,764952.0,799938.0,770303.0,809481.0,779133.0,743886.0,769665.0,781208.0,721455.0,762476.0,780929.0,777820.0,803636.0,728237.0,758668.0,750487.0,827075.0,789938.0,809561.0,856267.0,769004.0,797193.0,735461.0,762268.0,782247.0,743260.0,744948.0,744290.0,752451.0
