Optimizer,objfname,ExecutionTime,Iter1,Iter2,Iter3,Iter4,Iter5,Iter6,Iter7,Iter8,Iter9,Iter10,Iter11,Iter12,Iter13,Iter14,Iter15,Iter16,Iter17,Iter18,Iter19,Iter20,Iter21,Iter22,Iter23,Iter24,Iter25,Iter26,Iter27,Iter28,Iter29,Iter30
PSO,Fun5,1189.6830394268036,239617.0,233740.0,225110.0,224495.0,214335.0,213545.0,208363.0,207299.0,204710.0,202369.0,200130.0,200130.0,199438.0,199438.0,198711.0,198711.0,197802.0,197802.0,197284.0,197284.0,197284.0,197284.0,196903.0,196617.0,196092.0,195127.0,194692.0,194692.0,194275.0,194275.0
GA,Fun5,1083.9680752754211,233382.0,233382.0,233382.0,233367.0,233367.0,232869.0,230159.0,228011.0,228011.0,228011.0,228011.0,226036.0,226036.0,226036.0,226036.0,226036.0,226036.0,226036.0,224483.0,224483.0,224483.0,224483.0,224483.0,224483.0,224483.0,224483.0,223650.0,223650.0,223650.0,223650.0
BAT,Fun5,1151.6548690795898,222069.0,222069.0,220547.0,219516.0,212352.0,211840.0,211840.0,210556.0,209642.0,207083.0,207083.0,207083.0,207083.0,207083.0,207083.0,207083.0,207083.0,207083.0,207083.0,207083.0,207083.0,207083.0,207083.0,207083.0,207083.0,207083.0,207083.0,207083.0,207083.0,207083.0
FFA,Fun5,1322.0567643642426,234491.0,230470.0,229632.0,228583.0,219373.0,212323.0,212323.0,211923.0,210182.0,209316.0,206007.0,205542.0,205542.0,205285.0,204833.0,204833.0,204229.0,204229.0,204229.0,204229.0,204229.0,204229.0,204229.0,204229.0,204229.0,204229.0,204229.0,204229.0,204229.0,204229.0
GWO,Fun5,1340.9918134212494,233670.0,219090.0,206805.0,196024.0,187883.0,168875.0,152224.0,142182.0,132080.0,123740.0,117781.0,111701.0,99078.0,88267.0,88267.0,84725.0,80757.0,79114.0,76766.0,74774.0,71801.0,71146.0,70367.0,69767.0,68242.0,62968.0,62968.0,62968.0,62968.0,61828.0
CS,Fun5,3343.0360717773438,230563.0,230563.0,228807.0,228807.0,228807.0,228807.0,226270.0,226270.0,225805.0,223775.0,223246.0,222975.0,216997.0,216997.0,216997.0,216997.0,215271.0,215166.0,215166.0,215166.0,215166.0,215166.0,215166.0,215166.0,211027.0,211027.0,211027.0,211027.0,211027.0,211027.0
DE,Fun5,1728.4261801242828,233687.0,232485.0,225052.0,225052.0,223737.0,223737.0,223737.0,223737.0,216048.0,216048.0,216048.0,215261.0,215261.0,213123.0,213123.0,207845.0,204619.0,203497.0,196355.0,196355.0,196355.0,196355.0,191566.0,191566.0,191566.0,191566.0,191566.0,191566.0,188789.0,187548.0
RS,Fun5,1684.343905210495,258992.0,248047.0,231567.0,257511.0,247051.0,254088.0,249344.0,254387.0,267708.0,240328.0,249696.0,260234.0,244698.0,238063.0,246302.0,247036.0,260026.0,249563.0,238291.0,255212.0,247483.0,246572.0,244843.0,249676.0,250637.0,268073.0,243589.0,244980.0,255987.0,246226.0
