Optimizer,objfname,ExecutionTime,Iter1,Iter2,Iter3,Iter4,Iter5,Iter6,Iter7,Iter8,Iter9,Iter10,Iter11,Iter12,Iter13,Iter14,Iter15,Iter16,Iter17,Iter18,Iter19,Iter20,Iter21,Iter22,Iter23,Iter24,Iter25,Iter26,Iter27,Iter28,Iter29,Iter30
PSO,Fun3,3710.87,275667.93,275667.93,275667.93,268604.08,268604.08,266739.42,262957.0,260767.87,253147.7,253147.7,253147.7,249402.33,249402.33,249402.33,246584.49,243142.04,240380.42,240380.42,240380.42,236144.24,236074.71,236074.71,234338.11,234338.11,234338.11,234338.11,234338.11,234338.11,233685.82,233138.56
GA,Fun3,3712.94,292327.07,292327.07,291802.78,290501.71,287351.84,281314.1,281314.1,281314.1,281314.1,279037.58,277752.31,277752.31,277752.31,276256.43,275859.86,275859.86,275859.86,275859.86,266527.84,266527.84,263061.29,263061.29,262457.24,256992.08,256992.08,256992.08,256992.08,256992.08,256992.08,256638.75
BAT,Fun3,3778.33,279978.95,277991.85,275105.48,275105.48,275105.48,275105.48,275105.48,275034.28,275034.28,275034.28,275034.28,275034.28,275034.28,274735.09,274735.09,274735.09,274735.09,274735.09,274433.99,274433.99,274433.99,274433.99,274433.99,274433.99,274433.99,274433.99,274433.99,274433.99,274361.09,274361.09
FFA,Fun3,3410.05,288402.37,288313.98,288313.98,286597.58,275984.86,270148.31,268724.88,258510.04,258510.04,258510.04,258510.04,257300.83,254187.78,253635.52,253420.49,253420.49,253420.49,253420.49,253420.49,253354.7,253354.7,253354.7,253354.7,253354.7,253354.7,253354.7,253354.7,253354.7,253354.7,253354.7
GWO,Fun3,3155.11,288986.68,251559.72,250836.72,230334.42,221710.11,202309.16,194607.87,177283.44,155926.58,152318.0,139975.27,132919.0,124978.2,113211.9,111932.74,105425.62,102909.37,97802.28,97802.28,94547.17,89598.88,89598.88,89598.88,88629.0,88629.0,86908.37,82840.57,81846.82,81240.85,78328.13
CS,Fun3,6628.22,281751.81,281751.81,281751.81,281751.81,281751.81,278593.09,277443.71,277443.71,277443.71,267673.16,267673.16,267673.16,267673.16,267673.16,267673.16,267673.16,267673.16,267673.16,267673.16,266476.0,266476.0,266426.28,266426.28,265844.53,265844.53,265844.53,264602.98,264602.98,264602.98,264602.98
DE,Fun3,3733.74,285218.01,283663.07,283663.07,280796.5,272117.22,271591.02,261230.93,261230.93,256919.25,256919.25,251787.08,251787.08,247158.59,245008.95,233084.54,233084.54,233084.54,233084.54,231930.73,225715.79,224389.7,224389.7,224389.7,218232.35,217723.01,217723.01,217723.01,213539.57,208553.96,206354.32
RS,Fun3,3727.52,314984.15,309026.07,294152.27,319579.7,315818.57,307959.56,301363.35,301038.19,299950.41,333196.88,311018.37,303611.21,310061.09,323129.66,303930.35,321103.92,321088.26,303730.09,324889.89,315881.02,315803.46,321251.87,302503.29,304578.78,354194.5,310983.72,330054.53,310303.93,312279.35,320323.16
