Optimizer,objfname,ExecutionTime,Iter1,Iter2,Iter3,Iter4,Iter5,Iter6,Iter7,Iter8,Iter9,Iter10,Iter11,Iter12,Iter13,Iter14,Iter15,Iter16,Iter17,Iter18,Iter19,Iter20,Iter21,Iter22,Iter23,Iter24,Iter25,Iter26,Iter27,Iter28,Iter29,Iter30
PSO,Fun3,3710.8652613162994,275667.93000037153,275667.93000037153,275667.93000037153,268604.0770004077,268604.0770004077,266739.42100038903,262956.9970004005,260767.8650003913,253147.70000037443,253147.70000037443,253147.70000037443,249402.32700034606,249402.32700034606,249402.32700034606,246584.49300035354,243142.0410003467,240380.4230003284,240380.4230003284,240380.4230003284,236144.23900032684,236074.71300032336,236074.71300032336,234338.10900031918,234338.10900031918,234338.10900031918,234338.10900031918,234338.10900031918,234338.10900031918,233685.82400031283,233138.56200030886
GA,Fun3,3712.937837123871,292327.06900040753,292327.06900040753,291802.77500037843,290501.7060003949,287351.8370004088,281314.0990004334,281314.0990004334,281314.0990004334,281314.0990004334,279037.5760003932,277752.3110004082,277752.3110004082,277752.3110004082,276256.43200041004,275859.85800040857,275859.85800040857,275859.85800040857,275859.85800040857,266527.8410004392,266527.8410004392,263061.2870004471,263061.2870004471,262457.24000044586,256992.07500043884,256992.07500043884,256992.07500043884,256992.07500043884,256992.07500043884,256992.07500043884,256638.75000043868
BAT,Fun3,3778.327619791031,279978.9520003634,277991.8510003677,275105.4760003785,275105.4760003785,275105.4760003785,275105.4760003785,275105.4760003785,275034.283000379,275034.283000379,275034.283000379,275034.283000379,275034.283000379,275034.283000379,274735.09400037816,274735.09400037816,274735.09400037816,274735.09400037816,274735.09400037816,274433.9920003803,274433.9920003803,274433.9920003803,274433.9920003803,274433.9920003803,274433.9920003803,274433.9920003803,274433.9920003803,274433.9920003803,274433.9920003803,274361.0890003806,274361.0890003806
FFA,Fun3,3410.0513141155243,288402.366000396,288313.97600040847,288313.97600040847,286597.5750004287,275984.8590004238,270148.3140004655,268724.8820004508,258510.03600045203,258510.03600045203,258510.03600045203,258510.03600045203,257300.8320004379,254187.77500042922,253635.52100042987,253420.4880004283,253420.4880004283,253420.4880004283,253420.4880004283,253420.4880004283,253354.69900042846,253354.69900042846,253354.69900042846,253354.69900042846,253354.69900042846,253354.69900042846,253354.69900042846,253354.69900042846,253354.69900042846,253354.69900042846,253354.69900042846
GWO,Fun3,3155.1074554920197,288986.6830004018,251559.7230004141,250836.72100038824,230334.4190003272,221710.11000029714,202309.1600001959,194607.86800019845,177283.44000011598,155926.58100000545,152317.9979999894,139975.26599993464,132919.0029999018,124978.19599989783,113211.89699992129,111932.74099992822,105425.61699993494,102909.37099994623,97802.27599995206,97802.27599995206,94547.16899996052,89598.8799999682,89598.8799999682,89598.8799999682,88628.99599997199,88628.99599997199,86908.36899997377,82840.57499998384,81846.81599998818,81240.84899998778,78328.13499999544
CS,Fun3,6628.215054035187,281751.8080003876,281751.8080003876,281751.8080003876,281751.8080003876,281751.8080003876,278593.09300040384,277443.70700040733,277443.70700040733,277443.70700040733,267673.1560003895,267673.1560003895,267673.1560003895,267673.1560003895,267673.1560003895,267673.1560003895,267673.1560003895,267673.1560003895,267673.1560003895,267673.1560003895,266476.0030003885,266476.0030003885,266426.2790004117,266426.2790004117,265844.5300003894,265844.5300003894,265844.5300003894,264602.98200041126,264602.98200041126,264602.98200041126,264602.98200041126
DE,Fun3,3733.7360644340515,285218.0050004258,283663.0670003845,283663.0670003845,280796.4970004114,272117.2170004218,271591.0230004115,261230.931000432,261230.931000432,256919.2450004241,256919.2450004241,251787.07600038077,251787.07600038077,247158.59400037493,245008.94700038177,233084.5350003179,233084.5350003179,233084.5350003179,233084.5350003179,231930.73300032978,225715.78800030594,224389.7040002685,224389.7040002685,224389.7040002685,218232.34900026428,217723.00900028803,217723.00900028803,217723.00900028803,213539.5740002692,208553.9560002356,206354.32300022055
RS,Fun3,3727.5228157043457,314984.1540003185,309026.0680003213,294152.2690003285,319579.6960003138,315818.57000030397,307959.5570003373,301363.3460003758,301038.18500035943,299950.407000329,333196.8750003188,311018.3670003811,303611.207000316,310061.0920003754,323129.6560003321,303930.3480003447,321103.9240003232,321088.25500030833,303730.0910003268,324889.8940003025,315881.018000314,315803.45900034567,321251.8670003345,302503.29200029746,304578.7820003163,354194.503000262,310983.721000342,330054.53100031766,310303.9280003119,312279.34500031295,320323.1590003361
