Optimizer,objfname,ExecutionTime,Iter1,Iter2,Iter3,Iter4,Iter5,Iter6,Iter7,Iter8,Iter9,Iter10,Iter11,Iter12,Iter13,Iter14,Iter15,Iter16,Iter17,Iter18,Iter19,Iter20,Iter21,Iter22,Iter23,Iter24,Iter25,Iter26,Iter27,Iter28,Iter29,Iter30,Iter31,Iter32,Iter33,Iter34,Iter35,Iter36,Iter37,Iter38,Iter39,Iter40,Iter41,Iter42,Iter43,Iter44,Iter45,Iter46,Iter47,Iter48,Iter49,Iter50
PSO,Fun3,5294.414949,299918.222,291357.724,280086.796,278806.134,277885.884,277885.884,276313.137,273095.659,262323.656,262323.656,262323.656,262323.656,261574.185,257710.005,256488.514,256386.463,244958.152,244958.152,243440.101,242257.84,241556.584,241556.584,236397.301,236397.301,236397.301,235322.778,234398.437,233701.484,233701.484,233370.159,233268.173,232097.79,229955.473,229955.473,229641.581,229641.581,229556.044,227908.689,227848.277,226854.499,225094.269,222147.145,220393.667,220393.667,220393.667,220393.667,220388.3,219322.378,218416.547,218036.364
GA,Fun3,5638.447086,292477.848,292071.608,290927.519,286612.032,286612.032,286612.032,283957.109,282863.685,282863.685,274337.935,274337.935,274207.278,274207.278,274207.278,274207.278,274207.278,274207.278,274207.278,273405.966,273405.966,273405.966,273405.966,273405.966,273405.966,273405.966,273405.966,273405.966,273405.966,273405.966,270109.279,270109.279,270109.279,270109.279,270109.279,265121.773,261711.754,261711.754,261711.754,261711.754,261711.754,261711.754,256849.803,254450.53,254450.53,254450.53,254450.53,254450.53,252548.369,252548.369,252548.369
BAT,Fun3,5620.031901,286110.585,285407.919,284840.714,284567.217,283637.297,282838.376,282838.376,282838.376,280964.288,280665.099,280665.099,280432.258,280432.258,280432.258,280432.258,280432.258,279898.062,279898.062,279195.396,279195.396,279195.396,278782.471,278782.471,277958.408,276923.989,276923.989,276680.159,276064.648,275967.942,275967.942,275967.942,275440.835,275440.835,275440.835,275205.828,275205.828,275205.828,275205.828,275205.828,275205.828,274988.783,274988.783,274988.783,274988.783,274988.783,274988.783,274988.783,274988.783,274988.783,274988.783
FFA,Fun3,6210.02517,276239.147,276239.147,276239.147,273421.929,271472.038,265488.957,259836.373,257475.815,257475.815,256273.435,256273.435,256273.435,256273.435,253367.348,250629.295,247050.667,247050.667,247050.667,246149.93,246149.93,245614.875,245614.875,245181.402,245181.402,245181.402,243823.878,243823.878,243816.888,243816.888,243816.888,243816.888,243816.888,243816.888,243816.888,243816.888,243816.888,243816.888,243816.888,243816.888,243816.888,243816.888,243816.888,243816.888,243816.888,243816.888,243816.888,243816.888,243816.888,243816.888,243816.888
GWO,Fun3,4174.786383,289730.61,268352.626,251595.442,232225.814,217877.814,204492.193,180421.078,180421.078,167198.706,162424.593,153026.275,140207.064,134481.815,127229.376,116085.538,115923.771,109073.05,98809.017,92005.82,89873.457,89124.887,84586.624,81107.722,80624.547,77696.174,71909.426,70012.111,70012.111,66476.001,64616.531,64616.531,61590.978,58282.026,55027.313,52585.635,50368.019,47580.885,46937.964,46487.142,45725.743,45725.743,45725.743,45014.98,44951.161,43440.23,41857.116,41392.246,40354.563,39488.097,39026.002
CS,Fun3,19181.98469,298692.209,298542.404,295671.867,295671.867,293473.308,293473.308,293473.308,291705.127,285369.816,280539.018,279539.65,278848.049,278848.049,278848.049,274099.925,274099.925,274099.925,274099.925,274099.925,274099.925,274099.925,274099.925,274099.925,269524.609,269524.609,269524.609,269524.609,269524.609,269524.609,269524.609,269524.609,269524.609,269524.609,269524.609,269524.609,269524.609,269524.609,269524.609,269493.341,267735.882,267735.882,267735.882,267735.882,267735.882,267735.882,266700.012,266700.012,266700.012,266700.012,266700.012
DE,Fun3,4261.268189,282420.583,282420.583,276650.007,276519.191,265447.674,255688.024,255688.024,255688.024,255688.024,252861.49,249611.949,248569.428,248569.428,248569.428,247582.784,247582.784,245206.796,242318.729,242318.729,233488.271,233488.271,229811.445,229811.445,229811.445,229811.445,221921.649,221921.649,221921.649,221921.649,221921.649,221921.649,221921.649,221921.649,221921.649,220382.365,220382.365,209835.283,209835.283,209835.283,209835.283,209835.283,209835.283,206208.075,206208.075,206208.075,206208.075,198676.074,198676.074,198676.074,198676.074
