Optimizer,objfname,ExecutionTime,Iter1,Iter2,Iter3,Iter4,Iter5,Iter6,Iter7,Iter8,Iter9,Iter10,Iter11,Iter12,Iter13,Iter14,Iter15,Iter16,Iter17,Iter18,Iter19,Iter20,Iter21,Iter22,Iter23,Iter24,Iter25,Iter26,Iter27,Iter28,Iter29,Iter30,Iter31,Iter32,Iter33,Iter34,Iter35,Iter36,Iter37,Iter38,Iter39,Iter40,Iter41,Iter42,Iter43,Iter44,Iter45,Iter46,Iter47,Iter48,Iter49,Iter50
PSO,Fun3,5294.41,299918.22,291357.72,280086.8,278806.13,277885.88,277885.88,276313.14,273095.66,262323.66,262323.66,262323.66,262323.66,261574.19,257710.01,256488.51,256386.46,244958.15,244958.15,243440.1,242257.84,241556.58,241556.58,236397.3,236397.3,236397.3,235322.78,234398.44,233701.48,233701.48,233370.16,233268.17,232097.79,229955.47,229955.47,229641.58,229641.58,229556.04,227908.69,227848.28,226854.5,225094.27,222147.15,220393.67,220393.67,220393.67,220393.67,220388.3,219322.38,218416.55,218036.36
GA,Fun3,5638.45,292477.85,292071.61,290927.52,286612.03,286612.03,286612.03,283957.11,282863.69,282863.69,274337.94,274337.94,274207.28,274207.28,274207.28,274207.28,274207.28,274207.28,274207.28,273405.97,273405.97,273405.97,273405.97,273405.97,273405.97,273405.97,273405.97,273405.97,273405.97,273405.97,270109.28,270109.28,270109.28,270109.28,270109.28,265121.77,261711.75,261711.75,261711.75,261711.75,261711.75,261711.75,256849.8,254450.53,254450.53,254450.53,254450.53,254450.53,252548.37,252548.37,252548.37
BAT,Fun3,5620.03,286110.59,285407.92,284840.71,284567.22,283637.3,282838.38,282838.38,282838.38,280964.29,280665.1,280665.1,280432.26,280432.26,280432.26,280432.26,280432.26,279898.06,279898.06,279195.4,279195.4,279195.4,278782.47,278782.47,277958.41,276923.99,276923.99,276680.16,276064.65,275967.94,275967.94,275967.94,275440.84,275440.84,275440.84,275205.83,275205.83,275205.83,275205.83,275205.83,275205.83,274988.78,274988.78,274988.78,274988.78,274988.78,274988.78,274988.78,274988.78,274988.78,274988.78
FFA,Fun3,6210.03,276239.15,276239.15,276239.15,273421.93,271472.04,265488.96,259836.37,257475.82,257475.82,256273.44,256273.44,256273.44,256273.44,253367.35,250629.3,247050.67,247050.67,247050.67,246149.93,246149.93,245614.88,245614.88,245181.4,245181.4,245181.4,243823.88,243823.88,243816.89,243816.89,243816.89,243816.89,243816.89,243816.89,243816.89,243816.89,243816.89,243816.89,243816.89,243816.89,243816.89,243816.89,243816.89,243816.89,243816.89,243816.89,243816.89,243816.89,243816.89,243816.89,243816.89
GWO,Fun3,4174.79,289730.61,268352.63,251595.44,232225.81,217877.81,204492.19,180421.08,180421.08,167198.71,162424.59,153026.28,140207.06,134481.81,127229.38,116085.54,115923.77,109073.05,98809.02,92005.82,89873.46,89124.89,84586.62,81107.72,80624.55,77696.17,71909.43,70012.11,70012.11,66476,64616.53,64616.53,61590.98,58282.03,55027.31,52585.64,50368.02,47580.89,46937.96,46487.14,45725.74,45725.74,45725.74,45014.98,44951.16,43440.23,41857.12,41392.25,40354.56,39488.1,39026
CS,Fun3,19181.98,298692.21,298542.4,295671.87,295671.87,293473.31,293473.31,293473.31,291705.13,285369.82,280539.02,279539.65,278848.05,278848.05,278848.05,274099.93,274099.93,274099.93,274099.93,274099.93,274099.93,274099.93,274099.93,274099.93,269524.61,269524.61,269524.61,269524.61,269524.61,269524.61,269524.61,269524.61,269524.61,269524.61,269524.61,269524.61,269524.61,269524.61,269524.61,269493.34,267735.88,267735.88,267735.88,267735.88,267735.88,267735.88,266700.01,266700.01,266700.01,266700.01,266700.01
DE,Fun3,4261.27,282420.58,282420.58,276650.01,276519.19,265447.67,255688.02,255688.02,255688.02,255688.02,252861.49,249611.95,248569.43,248569.43,248569.43,247582.78,247582.78,245206.8,242318.73,242318.73,233488.27,233488.27,229811.45,229811.45,229811.45,229811.45,221921.65,221921.65,221921.65,221921.65,221921.65,221921.65,221921.65,221921.65,221921.65,220382.37,220382.37,209835.28,209835.28,209835.28,209835.28,209835.28,209835.28,206208.08,206208.08,206208.08,206208.08,198676.07,198676.07,198676.07,198676.07
